,Labels,Predicitions,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,7,7,3.2485807e-06,1.6987799e-06,0.0012220327,1.45736585e-05,2.1290657e-06,3.8648014e-07,1.4888644e-09,0.9981482,1.1833677e-05,0.0005959223
1,7,7,2.3393535e-05,0.00014515247,0.0020748763,4.9066086e-05,1.2836474e-05,4.0024024e-06,7.214413e-09,0.99654585,5.229512e-05,0.001092423
2,8,8,9.059013e-06,1.5207915e-07,2.6084394e-05,7.8695475e-06,3.6611702e-06,3.928569e-05,2.6764514e-05,1.7892654e-08,0.9998771,1.000734e-05
3,3,3,0.00030921865,0.0039480105,2.1496413e-05,0.97403955,0.00025478847,0.017910339,6.529365e-05,0.00033547237,7.732199e-05,0.0030384993
4,5,5,2.4885672e-08,5.56525e-11,6.872314e-10,9.643257e-07,1.7735303e-07,0.99996996,8.91907e-06,2.6601748e-08,7.2884e-07,1.919552e-05
5,9,9,6.5413e-07,5.787214e-14,1.6424629e-09,1.7822535e-10,2.1546637e-07,5.6761146e-06,4.7189523e-08,6.4884143e-09,6.075805e-08,0.9999933
6,2,2,4.20698e-07,9.4544026e-05,0.9998037,1.120565e-05,9.9572e-08,6.17135e-08,2.230111e-08,7.722178e-05,9.267123e-06,3.518711e-06
7,4,4,4.4887433e-06,4.73634e-06,8.936877e-09,2.386592e-08,0.999967,1.1002798e-09,1.4170182e-06,1.3002007e-05,1.6777689e-06,7.5852254e-06
8,9,9,3.762783e-06,1.2001306e-11,6.051084e-08,3.0056895e-09,1.385492e-06,1.6336432e-07,2.034377e-08,2.665259e-07,9.003286e-08,0.9999943
9,4,4,3.791151e-06,4.0964487e-06,1.2453718e-08,5.9428096e-08,0.99995387,7.993018e-09,2.805749e-05,2.951628e-06,1.701767e-06,5.496259e-06
10,4,4,5.465767e-06,5.757161e-06,1.6827899e-07,8.39993e-08,0.9999087,6.163313e-09,3.8894764e-06,1.2070733e-05,5.6867193e-06,5.8252e-05
11,1,1,1.6054386e-10,1.0,4.007332e-09,1.4580377e-13,3.834513e-10,9.565857e-14,3.1730365e-09,4.5896e-10,7.071498e-14,9.399324e-13
12,1,1,0.0016081776,0.9978477,0.00011867907,5.8016565e-05,9.892196e-05,2.869582e-06,1.096618e-05,0.00010770625,0.00011282395,3.4164907e-05
13,8,8,0.0053039924,3.4668068e-05,0.002081793,0.0019104561,0.0003490532,0.0054170284,0.0034224268,6.742992e-05,0.97516143,0.0062517435
14,9,9,0.00028073014,3.3697056e-08,1.5148448e-05,1.079045e-06,3.1604675e-05,2.077627e-05,1.8396601e-06,0.00013645482,1.0989142e-05,0.99950135
15,1,1,1.5931232e-11,1.0,4.821587e-11,5.1538265e-16,1.027026e-10,2.01063e-15,2.7239162e-09,1.1692725e-11,4.2152653e-16,1.1916078e-13
16,6,6,0.000119361386,9.12993e-08,4.1711697e-08,3.959719e-09,9.087296e-06,7.3782167e-06,0.9998635,1.0059309e-08,4.959785e-07,1.4370622e-08
17,6,6,0.00035958353,0.00010529286,0.00012540258,1.6103693e-05,0.000396931,0.0020464032,0.99675214,1.8400713e-05,0.00016590123,1.3830424e-05
18,0,0,0.9999964,6.423937e-08,2.4029967e-08,1.1881637e-08,1.8142577e-08,1.0153022e-06,1.6715504e-07,1.0977893e-07,4.592673e-07,1.6830973e-06
19,3,3,4.740222e-06,3.086759e-05,5.7965724e-07,0.9996896,2.4211457e-07,0.00014571304,1.2288494e-07,8.856964e-06,2.5246813e-05,9.4020565e-05
20,6,6,0.00021771387,3.2191735e-06,1.3887434e-05,5.663395e-07,0.0001907903,0.00058488885,0.9989241,2.335506e-06,5.187096e-05,1.0703974e-05
21,1,1,6.158008e-06,0.9999845,1.8884404e-06,3.2723233e-07,3.3894878e-06,4.7227533e-09,2.5656007e-06,8.1782997e-07,1.2404051e-07,2.1858595e-07
22,4,4,3.4595232e-07,5.6505894e-07,3.4789718e-10,1.2585236e-09,0.99999774,4.0569076e-11,3.8770546e-07,3.595997e-07,1.3676775e-07,5.1774157e-07
23,8,8,8.630993e-05,8.175844e-07,8.9844376e-05,0.00029678055,2.2932973e-05,0.0015502479,0.00011280332,8.640751e-07,0.99751675,0.00032260938
24,8,8,4.1314346e-05,1.0072903e-05,0.00017676315,2.2900922e-05,0.00033906737,6.327267e-05,8.568396e-05,7.864032e-07,0.9990024,0.00025775752
25,0,0,0.99995947,9.706723e-08,1.0965998e-07,1.6219467e-07,2.038222e-07,2.4687646e-05,1.6241207e-06,2.0705997e-07,1.5642837e-06,1.1836183e-05
26,0,0,1.0,2.956015e-10,1.7602074e-11,6.316423e-11,5.0048027e-10,2.194971e-08,1.6410429e-09,2.0763202e-10,1.5643955e-09,5.6381328e-08
27,9,9,1.0920296e-05,8.9429186e-11,9.561938e-08,1.3402e-08,2.8241193e-06,5.856375e-07,5.580653e-08,1.3728683e-06,2.9216787e-07,0.9999839
