,Labels,Predicitions,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,7,7,2.533204e-07,1.0088416e-09,2.389034e-07,2.6210618e-09,5.8552605e-08,1.2019835e-10,3.3718874e-07,0.99999917,1.16800545e-11,1.2013425e-09
1,5,5,0.00010018128,1.2290125e-08,5.0566643e-07,0.0012232976,1.2854725e-06,0.9984717,6.5567406e-07,4.7897595e-07,0.00019894756,3.086092e-06
2,9,9,2.795721e-06,2.365461e-06,1.802574e-06,3.6558514e-08,0.00057589373,1.3010898e-06,1.41964e-06,0.00014682914,9.478163e-06,0.999258
3,7,7,2.2617206e-08,8.579282e-06,4.0251434e-05,9.933551e-07,9.150618e-06,2.6769695e-09,1.17615095e-07,0.9999373,4.6001578e-08,3.5775604e-06
4,2,2,5.541904e-09,4.1257638e-07,0.9999994,1.1003265e-08,1.6904269e-09,1.9071347e-09,6.94604e-13,3.846866e-08,3.2507437e-08,3.2328185e-08
5,6,6,0.0001880688,0.0033443768,0.00015635989,1.6524143e-06,5.7243047e-05,0.00041248612,0.99517584,3.4191296e-05,0.0005930902,3.667043e-05
6,9,9,3.4685106e-09,1.1383187e-07,1.074368e-06,5.665226e-09,0.000552702,2.5606727e-07,4.136292e-10,2.6911723e-06,0.00024080601,0.9992023
7,7,7,2.3397909e-11,3.1136083e-11,2.4123448e-09,6.135987e-11,3.4037753e-09,3.1385224e-13,5.179793e-09,1.0,5.151569e-15,4.1220458e-11
8,8,8,2.2707556e-05,5.538099e-05,0.0109690875,9.317959e-05,8.295654e-05,1.4990082e-05,4.0403725e-07,8.0632526e-05,0.9885147,0.00016591947
9,9,9,1.5095426e-07,1.4744314e-06,4.1542958e-06,1.731408e-08,0.0021937194,7.4757185e-07,2.9077041e-08,2.243998e-06,0.0005323507,0.9972651
10,5,5,3.910015e-06,5.0377976e-11,3.6355535e-10,1.2030705e-06,1.2764489e-08,0.9999912,2.5560855e-08,4.1246032e-08,3.5727069e-06,1.15565214e-07
11,9,9,2.874761e-07,3.6294114e-07,3.2556648e-07,7.879839e-09,0.0022324256,0.00010626251,3.9294824e-07,1.2366394e-06,0.00048508108,0.99717355
12,6,6,0.00026370486,1.9917572e-05,1.9466688e-05,3.6432484e-06,0.00022412572,0.011342416,0.986466,0.00019389954,0.0013176294,0.00014914408
13,0,0,0.99999857,3.1826072e-10,1.0726554e-08,8.548399e-09,2.0450112e-07,5.1020854e-10,1.0280987e-06,5.352618e-08,4.862625e-10,3.131851e-09
14,6,6,0.020280704,0.00028947621,0.00053757173,0.00030249413,0.0018974451,0.1189326,0.5956199,0.0017912138,0.2577822,0.0025664351
15,5,5,7.003488e-06,1.8349101e-10,8.517356e-10,1.6389345e-06,2.6585258e-08,0.9999068,2.0543368e-07,1.3301417e-07,8.394465e-05,2.62775e-07
16,7,7,1.0800127e-06,5.6559344e-07,2.3415725e-05,1.8753008e-07,1.4201983e-06,9.3133934e-08,9.389144e-06,0.9999627,1.0483715e-08,1.0228006e-06
17,3,3,8.5114227e-10,4.781689e-08,3.3096012e-07,0.9999995,4.3958583e-15,8.8318714e-08,2.3495005e-13,1.4772479e-10,4.347021e-09,6.0201186e-14
18,2,2,2.133779e-08,7.6365956e-07,0.99988973,5.623038e-07,5.2527138e-08,7.1588794e-08,1.9335065e-10,0.00010520137,5.2677865e-07,3.0801205e-06
19,5,5,0.00024694385,1.3906481e-08,9.969415e-07,0.00047566,1.5954128e-06,0.9958061,4.730493e-06,7.4705536e-06,0.0034405703,1.59076e-05
20,0,0,0.99999976,3.5262069e-12,2.3206326e-09,7.4512746e-10,2.057728e-07,1.5932415e-11,3.962807e-08,1.520843e-09,3.1749818e-11,1.2643945e-09
