,Labels,Predicitions,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,0,0,0.9999988,6.2204236e-07,2.7793027e-08,4.9243204e-10,6.966779e-08,2.2258586e-08,4.4248273e-07,1.5282361e-09,1.6489894e-08,8.933667e-09
1,3,3,1.4222231e-08,6.063299e-07,5.2397166e-07,0.9999914,9.680981e-08,6.0176544e-06,4.4002944e-11,5.107139e-07,6.390054e-08,7.426642e-07
2,7,2,0.0011999086,0.00015245033,0.98838705,0.0026452928,2.3818966e-05,0.00012442656,0.00073832204,0.0064305356,0.00027190405,2.6314176e-05
3,0,0,0.999984,5.7337265e-06,2.3622295e-06,2.5159868e-09,7.088801e-08,1.9959407e-08,7.2140147e-06,2.105866e-09,3.282661e-07,2.8313426e-07
4,9,9,1.2642374e-08,1.2969232e-09,3.2531922e-08,2.027794e-07,4.941411e-05,2.2559536e-06,1.953408e-08,2.2419033e-06,1.7508607e-07,0.99994564
5,2,2,4.0571925e-07,4.8296215e-06,0.99991536,9.444413e-06,2.2756878e-07,3.4073685e-07,1.3201355e-05,4.8356065e-05,7.737531e-06,1.4602146e-07
6,8,8,5.3090366e-07,1.9876097e-06,2.7791218e-06,5.979899e-08,4.5499286e-07,4.8799116e-06,3.7202753e-05,9.696332e-10,0.9999517,3.4343947e-07
7,8,8,1.987047e-05,7.915603e-06,6.807346e-05,3.9803268e-07,2.5498216e-06,1.8830436e-06,6.8580746e-05,1.6961728e-08,0.9998292,1.5095153e-06
8,3,3,1.9278413e-07,7.1953554e-07,8.008223e-08,0.9998512,8.143738e-07,0.00014225936,1.6892442e-10,7.158129e-07,5.566243e-08,3.8898834e-06
9,6,6,9.509405e-07,1.8262993e-08,4.8724964e-06,3.1345337e-10,3.8785146e-08,7.6733716e-07,0.9999932,6.388165e-08,5.4420678e-08,1.6822252e-08
10,9,9,6.3589283e-07,6.087435e-08,1.7372881e-06,2.7228018e-06,0.0002807358,2.1425525e-05,5.55473e-07,0.00022997032,9.2228365e-06,0.999453
11,3,3,3.7425547e-05,0.00013713543,3.974144e-06,0.9961034,5.2896547e-05,0.0032730363,4.6696258e-07,7.951624e-05,7.75479e-05,0.00023466018
12,6,6,2.5495297e-08,2.9035546e-10,3.185888e-08,3.920421e-12,3.0924996e-09,6.495841e-08,0.9999999,4.530807e-08,3.628509e-08,2.1865217e-08
13,3,3,1.0719253e-06,1.6577561e-06,4.400006e-06,0.9998031,1.1830602e-06,0.00018004025,8.832048e-10,1.3211668e-06,2.2646944e-07,7.0814854e-06
14,3,3,6.0066386e-06,4.9870396e-06,4.5373104e-06,0.9448414,1.5976359e-05,0.05129717,1.2557076e-07,4.2661846e-05,1.5363172e-05,0.0037717246
15,3,3,0.00020528048,0.00050709286,0.00042909977,0.99086034,0.0003373284,0.0061071743,7.2483576e-06,0.0004215401,0.00022409721,0.0009007627
16,2,2,9.2130664e-05,0.00045708418,0.9986603,8.598306e-05,1.7018032e-05,8.783873e-06,0.00029271972,0.00034934073,3.095219e-05,5.58745e-06
17,7,7,1.0700296e-09,1.4290067e-07,4.168313e-07,1.955776e-07,1.8438387e-08,7.019056e-07,2.000881e-07,0.99999523,3.0592423e-07,2.7623234e-06
18,8,8,0.08159677,0.16799791,0.0014973002,6.0510964e-05,5.99304e-05,0.0028573205,0.017199663,4.992895e-05,0.72767615,0.0010045564
19,2,2,2.3223884e-05,4.5357315e-06,0.99982905,1.8735263e-06,1.453204e-07,4.636551e-07,7.985963e-05,5.8940313e-05,1.6504921e-06,2.7816802e-07
20,6,6,3.588484e-05,1.2961297e-06,4.401536e-05,1.5014237e-09,1.9228003e-07,6.9712075e-07,0.9999013,4.1567695e-08,1.643981e-05,1.2100921e-07
21,2,2,0.00031480152,0.0005641323,0.99792117,1.720571e-05,2.6815926e-06,1.7666607e-05,0.00061158236,0.00017239769,0.00037667953,1.7084867e-06
22,6,6,3.5209378e-06,9.475846e-08,2.6029275e-06,1.4575368e-09,7.206875e-07,8.123729e-07,0.99999,3.3238445e-07,1.2087814e-06,7.1952485e-07
23,2,2,0.0004040484,0.00011204711,0.99777645,0.000113694325,1.070738e-05,4.8418384e-05,0.0008276576,0.00061944925,8.1725244e-05,5.781401e-06
24,1,1,2.2192161e-09,0.9999994,6.136263e-08,1.0217428e-09,2.5634316e-07,2.069621e-10,2.3076932e-10,6.2607995e-08,1.4343418e-07,8.676087e-09
25,5,5,1.0713673e-07,1.0370361e-09,5.1812107e-11,2.418998e-07,1.4138549e-10,0.9999943,4.2216475e-06,5.6772944e-08,4.3427758e-07,6.672116e-07
26,1,1,5.666351e-08,0.9999894,5.8270388e-08,1.0250358e-08,2.0446896e-06,8.1022644e-10,1.1037563e-08,1.13505756e-07,8.333192e-06,3.6834887e-08
27,0,0,0.9999503,4.243282e-06,3.846882e-06,8.366947e-10,6.2707426e-07,6.1532206e-09,3.884365e-05,2.4293967e-09,5.8878516e-07,1.5846856e-06
28,1,1,5.951276e-09,0.9999989,1.8711715e-08,2.3236824e-09,8.399699e-07,6.748331e-11,4.0116077e-10,1.0625421e-07,6.5124205e-08,1.4696911e-08
29,3,3,2.9699167e-06,3.3793935e-05,0.00019199598,0.9996917,2.0999187e-05,4.242203e-05,2.7415473e-08,1.2077912e-05,1.3276604e-06,2.7099875e-06
30,8,8,0.031083172,0.00037377502,0.0015553085,0.0005992518,0.01172053,0.0025240069,0.0050970563,0.0007594993,0.90155077,0.044736553
31,6,6,2.5323503e-05,3.8519497e-07,7.5173907e-06,5.540917e-09,1.5281875e-06,4.496161e-06,0.9999511,2.1097101e-07,8.404318e-06,9.765971e-07
32,5,5,7.056353e-07,2.0643918e-09,6.493964e-10,1.5051951e-05,2.4416609e-09,0.999979,1.0593043e-06,1.6760811e-06,2.1196016e-08,2.5098022e-06
33,9,9,8.448528e-08,8.796845e-09,8.5028165e-07,7.5173614e-07,0.00017920425,4.1771946e-06,1.074766e-07,7.284746e-06,9.625678e-07,0.9998066
34,7,7,1.2960728e-06,3.4522245e-08,1.4681668e-06,4.4571143e-06,1.6412632e-07,2.8473361e-05,6.009314e-06,0.9999367,1.5049218e-07,2.1282935e-05
35,1,1,1.0613899e-09,0.9999982,2.2044448e-08,4.1081183e-09,9.3253897e-07,6.790343e-10,1.4770994e-10,7.473022e-07,6.917176e-08,7.243526e-08
36,3,3,6.64429e-06,6.2766325e-05,0.0006121696,0.9990994,3.0430094e-05,0.00015222536,1.5494604e-07,2.6195105e-05,5.2661812e-06,4.8843804e-06
37,8,8,2.9015237e-06,0.00038938518,7.343236e-05,7.122883e-07,2.2058448e-05,1.3950431e-05,0.00016797218,8.548906e-08,0.99932516,4.4641015e-06
38,0,0,0.99997866,1.1036999e-05,3.9978013e-06,9.783205e-09,5.140512e-07,3.9349015e-08,3.2940764e-06,9.620625e-09,8.4388796e-07,1.6823773e-06
39,9,9,1.4758418e-09,1.2053783e-10,2.6789483e-08,3.398349e-08,9.886163e-06,3.0607143e-07,1.6819125e-09,3.8784185e-07,3.0136016e-07,0.99998903
40,6,6,2.5585672e-05,1.790387e-07,0.00013463062,1.1070155e-10,1.7526984e-08,2.7646543e-08,0.9998394,2.6426749e-08,8.853755e-10,7.678531e-09
41,9,9,5.5674655e-06,1.3636799e-07,1.172496e-06,6.284448e-07,0.00068769715,1.4564498e-05,7.470336e-07,0.0005057988,3.485503e-06,0.9987802
42,9,9,4.6692158e-08,6.7512063e-09,1.6644897e-07,8.586303e-07,7.929379e-05,6.927564e-06,5.40156e-08,7.192536e-06,2.4262567e-07,0.9999052
43,7,7,1.1743475e-06,4.050137e-08,1.0298175e-07,1.3541895e-06,1.1443415e-07,7.5303983e-06,7.6145375e-06,0.9999701,6.565938e-08,1.1842823e-05
44,5,5,8.54782e-09,5.730976e-10,4.402607e-10,2.705381e-07,1.3522157e-10,0.9999956,4.2905495e-07,1.2507998e-07,6.487851e-08,3.4994725e-06
45,7,7,8.86939e-06,1.9423288e-07,4.913703e-06,2.5281026e-05,5.8761816e-07,0.00015371059,2.961588e-05,0.99972385,6.9697444e-07,5.2278847e-05
46,2,2,5.2822492e-05,1.9145804e-05,0.99825174,0.00019218586,1.3237845e-06,1.334094e-05,0.0001170368,0.0013369413,1.3617125e-05,1.895789e-06
47,4,4,1.3405975e-06,1.3746915e-08,2.0333013e-09,7.36467e-08,0.9996948,3.2149998e-08,7.642491e-06,1.08660025e-07,1.4788683e-06,0.00029451732
48,0,0,0.9999014,5.293449e-06,5.6684903e-06,2.8480077e-08,1.4220795e-07,5.466804e-07,8.0674174e-05,7.575457e-09,5.91678e-06,4.522369e-07
49,8,8,3.33757e-05,0.00031450228,0.0005111745,5.680943e-06,0.00060378877,0.0004927797,0.011405127,3.781171e-06,0.9864782,0.00015162212
50,2,2,9.223042e-06,0.000106831394,0.99964595,1.7820221e-06,4.843842e-07,1.1083753e-06,0.00010120209,8.7751316e-05,4.4998353e-05,7.579345e-07
51,7,7,1.0840367e-08,2.0736431e-07,8.1224283e-07,5.652056e-07,1.1045279e-08,2.3847865e-06,4.874924e-07,0.999992,8.2600843e-07,2.6277824e-06
52,6,6,9.074119e-07,1.0260764e-08,1.2312506e-06,1.8475503e-10,3.9607638e-08,6.586338e-07,0.999997,4.066393e-08,4.6487163e-08,2.98651e-08
53,0,0,0.9999931,2.2507697e-06,7.3019024e-08,5.469234e-09,5.559942e-07,2.4955898e-07,3.4931152e-06,1.4197726e-08,1.4277138e-07,1.08472285e-07
54,3,3,1.4353104e-06,2.4724266e-05,6.8986747e-06,0.9998796,1.5658714e-05,6.352979e-05,9.211267e-09,6.271624e-06,3.126258e-08,1.9162171e-06
55,7,7,7.8237457e-07,4.387709e-06,5.7401947e-05,2.664734e-06,9.200002e-08,9.82469e-06,5.148027e-06,0.99988365,2.9061705e-06,3.320418e-05
56,2,2,0.030192314,0.004451214,0.94939303,0.00040678596,0.0004622277,6.148383e-05,0.0038837283,0.0017980122,0.007862275,0.001488906
57,0,0,0.99998295,6.3735074e-06,1.953958e-06,2.0810556e-09,6.977095e-08,2.775127e-08,7.5800895e-06,1.2661495e-09,8.40612e-07,1.1836076e-07
58,1,1,6.4078702e-09,0.99999905,6.3445725e-08,3.5268017e-09,3.5590458e-07,2.4334793e-10,2.1854836e-10,2.0511023e-07,2.1177578e-07,3.4315235e-08
59,1,1,7.739723e-09,0.9999989,5.0139747e-08,6.1045267e-09,4.3158394e-07,6.0996824e-10,2.033519e-10,3.0189386e-07,2.418839e-07,5.577832e-08
60,3,3,0.00026782774,0.0010122829,0.00023606519,0.91389245,0.0006517898,0.073340006,3.7644677e-05,0.0031052656,0.0001427238,0.007313901
61,8,8,1.3753804e-05,0.00077726116,5.0383287e-06,3.2946525e-07,7.142521e-06,8.0340185e-05,4.0774346e-05,8.5833356e-08,0.9990569,1.8482719e-05
62,7,7,2.7871161e-05,2.4429849e-06,8.017075e-05,0.00010500916,8.438395e-06,0.00020172211,5.780433e-05,0.99908376,1.6614268e-06,0.00043117054
63,9,9,0.00013220953,1.4780086e-06,1.5661583e-06,4.2690357e-05,0.28894588,0.0008536541,0.0006138811,0.00033524013,6.7875444e-05,0.7090056
64,1,1,6.333894e-07,0.999962,7.971653e-07,7.076409e-07,1.0012514e-05,9.993794e-07,1.0558921e-08,1.6212056e-05,4.425027e-07,8.260298e-06
65,7,7,7.4074246e-06,0.00016858321,7.5454163e-06,9.035239e-06,7.517029e-05,3.614068e-05,0.00016220717,0.9982703,1.6490829e-05,0.0012471786
66,6,6,3.0406887e-05,9.255344e-07,2.3578912e-05,1.2392969e-08,2.2956624e-06,3.3759693e-06,0.9999373,6.1741264e-07,1.0458006e-06,5.536974e-07
67,8,8,3.5393484e-07,5.075799e-07,1.5182403e-07,1.9404139e-08,1.2949121e-07,1.4527833e-06,4.287089e-06,1.4078816e-10,0.99999297,1.6230285e-07
68,9,9,1.6854505e-05,3.8870476e-07,9.831872e-07,1.0763489e-06,0.0002614754,4.2599728e-05,2.1765895e-06,0.0061118673,2.1246992e-06,0.99356043
69,2,2,1.8999837e-05,0.009088982,0.9906222,2.2617921e-06,1.4271149e-06,2.7406432e-07,4.477971e-05,9.649991e-05,0.00012326986,1.3373494e-06
70,3,3,0.00039475624,0.0015945032,0.0054514534,0.98340744,0.00027482747,0.00653357,3.2839147e-05,0.0017246512,0.00022975072,0.000356199
71,7,7,3.0240776e-06,1.5247525e-05,0.0005877815,0.0002601742,1.2659596e-05,4.6171677e-05,1.2328702e-05,0.9989427,9.775881e-06,0.000110158064
72,3,3,1.3727966e-06,2.6763616e-06,9.971277e-06,0.9999423,1.4486119e-06,3.8868617e-05,1.2609912e-09,1.0139449e-06,7.0268754e-07,1.5915565e-06
73,2,2,3.1917768e-08,5.4007128e-08,0.9999963,1.9660401e-08,2.2651427e-09,1.1550433e-09,1.3091594e-06,2.2794964e-06,3.100505e-08,1.6447103e-08
74,7,7,1.7043806e-06,0.00010687471,0.0007011455,0.00030229473,1.7606408e-05,6.4765074e-05,1.9744697e-05,0.9987198,1.949941e-05,4.661331e-05
75,3,3,0.0037585297,0.0004117263,0.0012203509,0.9690806,8.270137e-05,0.023869056,1.9713936e-05,0.00024699466,0.0010464482,0.00026381708
76,2,2,0.044604078,0.0024377692,0.9251723,0.0026705137,1.659179e-05,4.279636e-05,0.0016317401,0.00031171815,0.022985943,0.00012644834
77,0,0,0.9999982,4.0996335e-07,1.8412223e-08,8.356116e-11,1.1715156e-08,5.5990363e-09,1.4703002e-06,9.863561e-11,1.685397e-08,1.6692729e-08
78,5,5,3.7199686e-07,2.5055762e-08,1.5306489e-09,6.1983874e-06,3.778737e-09,0.9999838,4.6219507e-06,1.2163772e-06,9.207994e-07,2.9500363e-06
79,2,2,0.18346752,0.0037087463,0.7670131,0.00025435747,3.9131057e-05,3.2704265e-05,0.0039061876,0.00024946727,0.041001957,0.00032685167
80,7,7,5.2816898e-08,5.12219e-07,1.0118453e-06,9.0134e-07,3.416854e-08,1.1009395e-05,1.7829401e-06,0.99997973,9.535358e-07,3.931774e-06
81,3,3,9.0002214e-07,7.250347e-07,5.051687e-07,0.9983901,4.2687066e-07,0.0015660513,8.2594015e-10,2.2615661e-06,2.7354736e-07,3.891015e-05
